Pop	Bpendula_All_V2	Bpendula_Random_V2	Bpendula_Target_V2
ESP00337	0.0034822943461809	0.00505594899865747	0.00264036135495669
FIN00015	0.00341717602927982	0.00493814250412861	0.00261798530806726
FIN00020	0.0034128727547743	0.00493869417633213	0.00260349604256324
FIN00044	0.00343009910384865	0.00499813606485497	0.00260178347626661
FIN00046	0.00403185272773495	0.00588007372200266	0.00303968232175176
GBR00013	0.00356394667470774	0.00516807176565158	0.00270255569281717
GBR00015	0.00332653430797362	0.00477509256418639	0.00255104873899309
ITA00243	0.00326918484309723	0.00477893605232918	0.00245125488786449
ITA00248	0.00324326087890277	0.00470345757022759	0.00245472084359127
LUX00021	0.00329820238690408	0.00471785405916449	0.00255743729391329
NLD00013	0.00398315264325436	0.00584510184342969	0.00298698531697065
SWE00093	0.00383068612202593	0.0056031931809862	0.00288394858083626
All	0.00355718487108382	0.00517094331264936	0.00269528288290922
