Pop	Bpendula_All_V1	Bpendula_Random_V1	Bpendula_Target_V1
ESP00102	0.00447243700786569	0.00598937010997474	0.00367198950945424
ESP00199	0.00541925498205199	0.0071557753301253	0.004487223061885
ESP00337	0.00336718875382679	0.00485597056641129	0.0025623612894964
FIN00015	0.00353049803302193	0.00499423770703094	0.00275561492761735
FIN00020	0.00354465578154036	0.00500855576923044	0.00276457389147357
FIN00044	0.00339133301115654	0.00487099752020463	0.0026034908419022
FIN00046	0.00389252337823088	0.00563815496598926	0.00294549859123118
GBR00013	0.00347280224765925	0.00499809550079177	0.00264515347346181
GBR00015	0.00322067963442237	0.0045944628731581	0.00247815255301863
IRL00017	0.00684814411327012	0.00897854028443922	0.00575244654918726
ITA00243	0.00315149015583742	0.00457390709695339	0.00237227406514882
ITA00248	0.00321136195092411	0.00462062765833328	0.00244225462431977
LUX00021	0.00339355796399547	0.00478004927312924	0.00266375334697984
NLD00013	0.00394890934348651	0.00570725874636092	0.00300031122622396
SWE00093	0.00390870237165314	0.00559010033258567	0.0030035546032285
All	0.0038719535431997	0.00544151971177258	0.00302939989897278
