Pop	Csativa_multispecies_All__V1
AUT00079	0.00234905885582703
ESP00069	0.00221584292347695
ESP00087	0.00208760591111376
ESP00287	0.00243414506782258
ESP00379	0.00231881992116566
ITA00274	0.0023461299330385
ROU00146	0.00234659143556517
TUR00057	0.00269281470979809
TUR00075	0.00236864033264778
TUR00100	0.00171981651657843
TUR00125	0.0016429111329693
TUR00218	0.00197902517562076
TUR00258	0.00306019822833458
All	0.00230756494446664
