Pop	Storminalis_All_V1
AUT00154	0.00266867553214595
BGR00003	0.00279193063948156
BIH00043	0.00251547894010899
CZE00004	0.00235809786644378
DEU00012	0.00189383198895193
DEU00024	0.00235097263945698
DEU00097	0.0023834394520391
DNK00059	0.00212889160779758
SVN00017	0.00249470370314355
SVN00039	0.00217586024488325
All	0.00236930575077336
