Pop	Pinusnigra_All_V1	Pinusnigra_Random_V1	Pinusnigra_Target_V1
AUT00077	0.00356351225328376	0.00348988926268991	0.00373895334790986
AUT00096	0.00359533780233192	0.00352800815560794	0.00375568941869567
AUT00143	0.00323315692039308	0.00316442812782833	0.00339426036445683
ESP00062	0.00294924947485496	0.00285213667405648	0.00317804462098018
ESP00303	0.00310587728402488	0.0030088739428906	0.00333496871139503
ESP00349	0.00303917093956463	0.00294107430566765	0.00327120390733068
ESP00370	0.00264298508013565	0.00255170446885098	0.00285646708238033
ITA00166	0.00357412477599819	0.00346562842746818	0.00383201970994415
ITA00240	0.00322446453022699	0.00311433622846589	0.00348657333401684
ROU00212	0.00334436803757951	0.00325745016650497	0.00355037668245699
TUR00104	0.00348239793240014	0.0034002464164332	0.00367905617607004
TUR00105	0.00385520629280461	0.00378636665539	0.00401876168419113
TUR00106	0.00364601033700112	0.00358973771355546	0.00377891055998581
TUR00215	0.00341063324028201	0.00332016668284408	0.00362695080672812
TUR00219	0.00351919744556878	0.003426958673072	0.00373824855804813
All	0.00338759641587608	0.00330327239916626	0.00358754668411245
