Pop	Phalepensis_All_V1	Phalepensis_Random_V1	Phalepensis_Target_V1
ESP00057	0.00112753137083294	0.000943587128277653	0.00144018802062725
ESP00091	0.00110472343926075	0.000922330061799878	0.00141599528216475
ESP00094	0.00105032999014316	0.000870072315089728	0.00136131548015065
ESP00106	0.000988194605177296	0.00083664453647045	0.00123980968429396
ESP00166	0.000991220422145708	0.000837715519049374	0.00125130853867296
ESP00377	0.00101386512884994	0.000853700321544806	0.00128874338687105
ITA00025	0.00176497362818973	0.00135166376289566	0.00245357346933014
ITA00027	0.00383448505667163	0.00332532209013725	0.00467657106330381
ITA00046	0.00257483914143705	0.00193492176101948	0.00367894567930068
ITA00075	0.000940138687916637	0.00080688932525612	0.00117375670474285
ITA00076	0.00117026207642783	0.000989201285837874	0.00148390770721811
ITA00133	0.00173627871035301	0.00130097811028009	0.00244771598850243
ITA00165	0.00179109315818459	0.00159991873817597	0.00210861667899852
ITA00261	0.00104923606634076	0.000880906081271964	0.00133102562130114
ITA00270	0.00101303984877042	0.000866358589059124	0.00125270004898718
All	0.00147923939153917	0.00121368252861113	0.00193037860781703
