Pop	Csativa_All_V1	Csativa_Random_V1	Csativa_Target_V1
AUT00079	0.00234905885582703	0.00233761224606295	0.00358890745264955
ESP00069	0.00221584292347695	0.00220600852078937	0.00328363186856644
ESP00087	0.00208760591111376	0.0020746524163575	0.00348939759629434
ESP00287	0.00243414506782258	0.00242310791568627	0.00361767612581764
ESP00379	0.00231881992116566	0.00230896806260638	0.00338458646534145
ITA00274	0.0023461299330385	0.00233497225415119	0.00355815472978422
ROU00146	0.00234659143556517	0.00233506521219614	0.00358968520451619
TUR00057	0.00269281470979809	0.00268233919702484	0.00382809629725773
TUR00075	0.00236864033264778	0.00235868860057897	0.00344521301431634
TUR00100	0.00171981651657843	0.00171074684678905	0.0027266139700569
TUR00125	0.0016429111329693	0.00163561725894347	0.00244206551069376
TUR00218	0.00197902517562076	0.00197014963564525	0.00294937600499622
TUR00258	0.00306019822833458	0.00304994417073287	0.00415941112647284
All	0.00230756494446664	0.00229713824660351	0.0034377349294859
