Pop	Pavium_All_V1	Pavium_Random_V1	Pavium_Target_V1
BEL00006	0.00152969055957851	0.00131220603206801	0.00207356654975937
BEL00007	0.00161930281465212	0.00140740794446508	0.00214757447656991
BGR00002	0.00228099115395599	0.00215541963864771	0.00258797481169804
CZE00156	0.00178899318935185	0.0015380571428546	0.00241212070909521
DEU00001	0.00157328353702065	0.0013456131861211	0.00213713836367273
ESP00082	0.00158299875816681	0.00146489656441223	0.00187489654811484
ESP00219	0.00170196429663431	0.00150695135740574	0.00218861750098089
ESP00246	0.00273232081821294	0.00243116673057481	0.00347066531679785
NLD00003	0.00156221502673957	0.0013399473165473	0.0021162995263867
TUR00228	0.00173165442363412	0.00153555249257784	0.00222038149600827
TUR00229	0.00153246064583829	0.00132019675069661	0.00205629960992264
TUR00230	0.00157267583629325	0.00135282502410554	0.00211297239705975
TUR00231	0.00189342827020384	0.00168027242902565	0.00242308923867281
All	0.00180676588169393	0.00160285658107232	0.00231252587024805
