Pop	Pavium_All_V2	Pavium_Random_V2	Pavium_Target_V2
BEL00006	0.00154649381846965	0.00132613907823438	0.0020982481417628
BEL00007	0.00163700226567355	0.0014222859076748	0.00217297318771051
BGR00002	0.00230796597776707	0.00218021322591593	0.0026206259156137
CZE00156	0.00180935038828932	0.00155523821384972	0.00244081836259872
DEU00001	0.00159128254610316	0.00136068498107651	0.00216285796896799
ESP00082	0.00160081979405717	0.00148089285875559	0.00189757191669964
ESP00219	0.00172057458031696	0.00152292656875743	0.00221437313675352
ESP00246	0.00156092498883664	0.0013205171701162	0.00216123115982198
NLD00003	0.00157995936163088	0.00135475049210354	0.00214197918398691
TUR00228	0.00175077130242463	0.00155205797851377	0.00224650439965753
TUR00229	0.00154921225070027	0.00133436621434447	0.0020797845827856
TUR00230	0.0015900304566756	0.00136789498888739	0.00213574660633484
TUR00231	0.00191451371824113	0.00169850517847915	0.00245179106254049
All	0.00171754465668995	0.00151824850515724	0.00221315628115614
