Pop	Tbaccata_All	Tbaccata_Random	Tbaccata_Target
AUT00049	0.00296709904171087	0.00280382573525933	0.00350371879996202
AUT00130	0.00288335040515201	0.0026712333761573	0.00354991798530412
AUT00185	0.00309871487170195	0.00287059097820442	0.00381776589466134
AUT00274	0.00311898998619353	0.00291829336309496	0.00374987031761076
DEU00009	0.00313062245737727	0.00296080443925938	0.00370844101815245
DEU00147	0.00327565991997187	0.00311342719402977	0.00381933768770706
ESP00078	0.00248642374153372	0.0023448290356271	0.00294719264246519
ESP00103	0.00254928808767231	0.00244268297717918	0.00290928066917042
ESP00340	0.00314240510082931	0.00302272156678075	0.00354965428629136
GBR00015	0.00346592097969268	0.00332460858392194	0.00394689555978654
ITA00023	0.00347868148384336	0.00334500833434072	0.00393375606176122
ITA00269	0.00246959829241929	0.00234991011972846	0.0028795370293377
NLD00005	0.00293789431475423	0.00278169333508049	0.00346461011948695
SVN00036	0.00329550006579154	0.00312405976885465	0.00384526255524554
TUR00224	0.00308703563447418	0.00295784949226588	0.00352172731957499
TUR00283	0.00322980166104374	0.00312637522652993	0.00357859231323461
All	0.00305554320949449	0.0029040748406246	0.00355966582735152
