ID1	ID2	N	N_IBS0	N_IBS1	N_IBS2	Concord	HomConc	HetConc
DNK00028-012	DNK00028-013	104607	0	145	104462	0.99861	1.00000	0.98562
DNK00032-007	DNK00032-008	87056	1	173	86882	0.99800	0.99999	0.98193
DNK00032-010	DNK00032-011	78271	0	512	77759	0.99346	1.00000	0.93343
DNK00032-013	DNK00032-014	83041	0	148	82893	0.99822	1.00000	0.98004
DNK00059-001	DNK00059-008	77522	0	155	77367	0.99800	1.00000	0.97841
DNK00059-018	DNK00059-019	78026	0	115	77911	0.99853	1.00000	0.98290
DEU00129-019	DNK00076-003	63757	0	247	63510	0.99613	1.00000	0.96556
DNK00074-017	DNK00074-018	83048	0	120	82928	0.99856	1.00000	0.98192
DNK00076-013	DNK00076-014	70221	0	132	70089	0.99812	1.00000	0.98052
