Pop	Aalba_All_V1	Aalba_Random_V1	Aalba_Target_V1
AUT00179	0.00226110841819578	0.00207089026032197	0.00269820206623592
AUT00215	0.0021385162430535	0.00198710274309474	0.0024866362851978
DEU00114	0.00185357810397254	0.00168132868108434	0.00224948519542315
ESP00339	0.000709362066732551	0.000605065493701688	0.000949323531448386
FRA00004	0.00122505744225059	0.00108708550407775	0.00154230202857754
FRA00006	0.00106288363815902	0.00100000677840714	0.00135331572678599
FRA00019	0.00122000236631715	0.0010569910050603	0.00159487049238504
ITA00029	0.00214584331471663	0.00203899723670262	0.00239140966224147
ITA00069	0.00171822017993269	0.00160876667734122	0.00196977649486569
ITA00217	0.00152536612890458	0.00135673665796256	0.00191275460007315
ITA00260	0.00254641751258571	0.00236797739443575	0.00295651227088862
ITA00271	0.00234390921441331	0.00222970138572856	0.0026064265763755
ROU00104	0.00209780379559644	0.0020049056100441	0.00231143527739081
ROU00358	0.00247637977343059	0.00235993350829727	0.00274401329752461
ROU00389	0.00219058225472152	0.00208363198886433	0.002436485998804
ROU00477	0.00112703907941523	0.00102677943516229	0.00128814760855946
SVN00023	0.0027735902974777	0.00260569299018816	0.00315947874687988
SVN00025	0.00271355606773467	0.00253705242050936	0.00311929083444584
All	0.00201452389892818	0.00188174096968577	0.00232868753018676
