Pop	Fexcelsior_All_V2	Fexcelsior_Random_V2	Fexcelsior_Target_V2
AUT00168	0.00470565169621888	0.00522669744957292	0.00430541578847284
DEU00004	0.00483361789673751	0.00535867066618261	0.0044412875934138
DEU00021	0.00493984014006033	0.00552483500484865	0.00449346097597782
ESP00125	0.00480418774273763	0.0052051320739959	0.00450872728672319
ESP00172	0.00460617915158068	0.00504081730340178	0.00428613507698482
ESP00212	0.00532936054115937	0.00592197081322831	0.00488057673483084
ESP00275	0.00522011543015928	0.00573741418127821	0.00483191412884229
ESP00342	0.00486331578558759	0.00540702507162447	0.00444874611888753
FIN00033	0.00522727508199961	0.0058551815312304	0.00474593051612915
IRL00016	0.00520391655624327	0.00573358864495891	0.00480076426203363
ROU00268	0.0069993153822096	0.00809253683299226	0.00623608038598252
ROU00279	0.00495346937896495	0.00549330701732599	0.00455128564830833
SVN00008	0.00480061359340165	0.00532988489844224	0.00440494707093832
All	0.00510002137892356	0.00566472013995849	0.00467607783911418
