Pop	Fexcelsior_All_V1	Fexcelsior_Random_V1	Fexcelsior_Target_V1
AUT00168	0.00465590486574724	0.00516516413774271	0.00426388113428665
DEU00004	0.00478591265292218	0.00529890720931821	0.00440172254621919
DEU00021	0.0048888981465819	0.0054610951448208	0.00445132988638983
ESP00125	0.00475369569613739	0.00514355608190148	0.00446573597516282
ESP00172	0.00455686519096235	0.00498020428176851	0.00424441814213841
ESP00212	0.00527164336193356	0.00585048069947344	0.00483232046955271
ESP00275	0.00516670451468675	0.00567173453799079	0.00478689344876828
ESP00342	0.00481253564303643	0.00534413255579289	0.00440634042330489
ESP00375	0.00734654406104191	0.00879650383614243	0.00638596450825693
FIN00033	0.00517080779493543	0.00578493333404126	0.00469902048369823
IRL00016	0.00514850057566037	0.00566547237925871	0.00475415056252888
ROU00268	0.00693021294255411	0.00800186766933483	0.00618032257817739
ROU00279	0.0049039337423458	0.00543173085021891	0.00450988049239955
SVN00008	0.00475204571915446	0.00526964178274184	0.00436429545063187
SVN00033	0.00754028561807631	0.00873824627706167	0.00671855146769362
All	0.00537955701466755	0.00601181158700872	0.00491075256670139
